CardNumber,ParcelID,StreetNumber,StreetName,NumofUnits,NumofRooms,NumofBedrooms,ExtType,YearBlt,CurrentBuildingValue,CurrentYardItems,CurrentLandValue,CurrentAcres,FinishedArea,GrossArea,CurrentTotal,SaleDate,SalePrice,LegalReference,Amount,Location 1
1,061-61-3358-000,28,BROWNLEA RD,1,6,3,RANCH,1959,137900,0,154700,0.25367,1703,2051,292600,12/06/2013,313500,63029-141,20000,"28 BROWNLEA RD
FRAMINGHAM, MA
(42.319096, -71.388081)"
1,018-89-2307-000,22,DANIELS RD,1,7,3,RANCH,1960,155100,20700,168000,0.76102,2008,2282,343800,12/23/2015,363000,66580-564,20000,"22 DANIELS RD
FRAMINGHAM, MA
(42.340857, -71.418723)"
1,061-61-4909-000,40,BROWNLEA RD,1,6,3,RANCH,1958,140600,1100,154300,0.23636,1415,1919,296000,06/26/2015,340000,65619-547,,"40 BROWNLEA RD
FRAMINGHAM, MA
(42.320768, -71.387926)"
1,061-50-6749-000,4,SPRINGHILL RD,1,6,3,RANCH,1955,107000,1000,154100,0.23056,1434,1586,262100,06/02/2004,250000,42948-460,3200,"4 SPRINGHILL RD
FRAMINGHAM, MA
(42.317774, -71.390729)"
1,028-96-3033-000,10,TARTUFI CIR,1,8,3,RANCH,1958,136400,0,160200,0.46373,1750,1750,296600,05/11/2004,1,42756-497,3102,"10 TARTUFI CIR
FRAMINGHAM, MA
(42.332268, -71.413883)"
1,028-06-0492-000,33,FRANCINE RD,1,8,3,RANCH,1958,217900,0,160100,0.45914,1878,2502,378000,06/25/2015,395000,65608-497,14843,"33 FRANCINE RD
FRAMINGHAM, MA
(42.333001, -71.411924)"
1,011-80-4226-000,49,EATON RD,1,6,3,RANCH,1960,133100,0,160100,0.45914,1056,1632,293200,10/01/1987,0,18614-314,18500,"49 EATON RD
FRAMINGHAM, MA
(42.343277, -71.417683)"
1,091-55-5857-000,10,LILIAN RD EXTN,1,7,3,RANCH,1955,134700,0,167400,0.26515,1211,2299,302100,01/24/1994,118000,198389,,"10 LILIAN RD EXTN
FRAMINGHAM, MA
(42.304315, -71.427977)"
1,017-68-5918-000,10,EISENHOWER RD,1,7,3,RANCH,1960,156300,1700,160100,0.45914,1527,1967,318100,04/25/2012,290000,251022,,"10 EISENHOWER RD
FRAMINGHAM, MA
(42.33984, -71.424516)"
1,028-87-1695-000,541,POTTER RD,1,6,4,COLONIAL,1983,202300,1300,164100,0.61012,1728,3052,367700,07/01/2016,1,67552-304,1896,"541 POTTER RD
FRAMINGHAM, MA
(42.336122, -71.417975)"
1,028-97-9246-000,67,GRIFFIN RD,1,7,3,RANCH,1960,128600,0,160300,0.46692,1415,1703,288900,01/29/2013,240000,61076-212,4800,"67 GRIFFIN RD
FRAMINGHAM, MA
(42.33507, -71.412026)"
1,011-80-0076-000,52,EATON RD,1,10,5,CONTEMPORY,1959,279700,26100,160100,0.45914,3135,4372,465900,11/26/2013,460000,62978-331,14000,"52 EATON RD
FRAMINGHAM, MA
(42.343434, -71.418927)"
1,061-60-0878-000,14,BROWNLEA RD,1,5,3,RANCH,1959,94600,1100,154500,0.24401,1032,1352,250200,05/25/2016,10,67312-104,,"14 BROWNLEA RD
FRAMINGHAM, MA
(42.317652, -71.389275)"
1,055-80-6409-000,36,BLACKBERRY LN,1,7,4,SPLIT ENT,1964,207900,0,173400,0.47567,1404,2894,381300,08/25/1965,1,10909-0387,9490,"36 BLACKBERRY LN
FRAMINGHAM, MA
(42.31655, -71.453783)"
1,011-80-1412-000,31,CIDER MILL RD SUD,NULL,NULL,NULL,NULL,NULL,0,0,3400,0.26033,0,0,3400,12/29/2003,579000,41695-166,,"31 CIDER MILL RD SUD
FRAMINGHAM, MA
(42.324206, -71.429402)"
1,070-98-0491-000,39,SUMMER LN,1,8,4,SPLIT LEVL,1959,212100,0,156500,0.3214,1522,3310,368600,12/03/2014,365000,64605-68,9980,"39 SUMMER LN
FRAMINGHAM, MA
(42.310872, -71.41524)"
1,017-79-6476-000,14,DANIELS RD,1,8,3,RANCH,1960,136800,900,174000,0.99265,1664,2384,311700,09/09/2002,315000,36348-256,,"14 DANIELS RD
FRAMINGHAM, MA
(42.340982, -71.420271)"
1,061-61-5727-000,39,BROWNLEA RD,1,7,4,TRI LEVEL,1960,229200,1400,154400,0.23958,2104,4060,385000,08/01/1978,1,13504-726,3863,"39 BROWNLEA RD
FRAMINGHAM, MA
(42.320218, -71.387945)"
1,061-61-1146-000,11,MAYFLOWER RD,1,6,3,RANCH,1959,126100,0,155200,0.27323,1524,1848,281300,04/30/2004,290000,42665-182,3000,"11 MAYFLOWER RD
FRAMINGHAM, MA
(42.318819, -71.389379)"
1,017-78-3791-000,8,SANDRA DR,1,8,3,RANCH,1959,180300,1700,160100,0.45914,2053,2053,342100,02/02/2006,100,46920-382,32500,"8 SANDRA DR
FRAMINGHAM, MA
(42.339666, -71.421267)"
1,027-56-4723-000,42,GREGORY RD,1,8,3,RANCH,1966,160100,5700,164100,0.61334,1596,1872,329900,11/20/2009,345000,53868-457,,"42 GREGORY RD
FRAMINGHAM, MA
(42.33399, -71.428169)"
1,055-70-6110-000,6,BIRCHMEADOW CIR,1,8,4,SPLIT ENT,1963,188200,0,160900,0.48919,1404,3090,349100,05/31/2013,1,61909-556,6900,"6 BIRCHMEADOW CIR
FRAMINGHAM, MA
(42.315995, -71.457301)"
1,046-12-3201-000,32,LYMAN RD,1,7,3,RANCH,1960,165300,0,160100,0.46074,1304,3086,325400,01/04/1961,1,09741-0018,21734,"32 LYMAN RD
FRAMINGHAM, MA
(42.321889, -71.443705)"
1,018-89-4380-000,22,MARY AGNES RD,1,7,3,RANCH,1960,149100,0,160300,0.46488,1398,2014,309400,10/25/2002,290000,36824-581,8000,"22 MARY AGNES RD
FRAMINGHAM, MA
(42.34123, -71.417073)"
1,055-80-0007-000,16,BLACKBERRY LN,1,8,3,SPLIT LEVL,1963,233900,0,172900,0.45914,1248,2596,406800,04/09/1998,229000,28429-234,,"16 BLACKBERRY LN
FRAMINGHAM, MA
(42.315373, -71.456058)"
1,038-65-1440-000,604,WATER ST,1,7,3,CONTEMPORY,1983,220200,2400,153100,0.19183,1337,3188,375700,05/18/2007,348000,49468-343,5000,"604 WATER ST
FRAMINGHAM, MA
(42.330501, -71.426001)"
1,018-88-7726-000,10,MARY AGNES RD,1,7,3,RANCH,1960,139700,0,160500,0.47376,1703,2005,300200,06/30/2004,335000,43180-371,4500,"10 MARY AGNES RD
FRAMINGHAM, MA
(42.339746, -71.416202)"
1,061-50-5726-000,677,OLD CONN PATH,1,6,3,COLONIAL,1958,123500,2900,146500,0.23416,2364,2524,272900,07/21/1998,150000,28857-474,23910,"677 OLD CONN PATH
FRAMINGHAM, MA
(42.317322, -71.391813)"
1,057-21-3833-000,7,JANICE CIR,1,7,3,RANCH,1960,182500,1400,160300,0.46648,1508,3410,344200,03/16/1971,1,11968-0187,8000,"7 JANICE CIR
FRAMINGHAM, MA
(42.320297, -71.440116)"
1,038-64-6035-000,20,PAMELA RD,1,9,4,SPLIT LEVL,1958,200400,0,160100,0.46033,1549,2695,360500,01/29/2014,1,63225-221,5000,"20 PAMELA RD
FRAMINGHAM, MA
(42.326921, -71.424431)"
1,081-87-0209-000,194,LOCKLAND AVE,1,5,3,SPLIT LEVL,1977,201800,14700,178600,0.65909,1300,2900,395100,11/25/2008,297000,51928-28,12514,"194 LOCKLAND AVE
FRAMINGHAM, MA
(42.307797, -71.418281)"
1,018-88-7407-000,33,SAVOY RD,1,5,3,RANCH,1960,152500,0,164400,0.62236,1415,1847,316900,07/27/1998,180000,28882-266,2000,"33 SAVOY RD
FRAMINGHAM, MA
(42.33914, -71.416885)"
1,056-11-8067-000,24,AMY RD,1,7,4,COLONIAL,1960,127000,0,160200,0.46217,1750,2300,287200,11/01/1984,119500,15879-0496,13250,"24 AMY RD
FRAMINGHAM, MA
(42.318125, -71.441851)"
1,080-66-0164-000,12,LILIAN RD,1,7,3,RANCH,1955,154000,0,167800,0.27652,1211,2623,321800,09/29/2004,100,231241,25000,"12 LILIAN RD
FRAMINGHAM, MA
(42.305169, -71.426495)"
1,055-80-4579-000,5,BLUEBERRY CIR,1,7,3,SPLIT ENT,1965,224800,18300,161200,0.50253,1464,3175,404300,07/10/1998,262000,28823-489,8240,"5 BLUEBERRY CIR
FRAMINGHAM, MA
(42.31686, -71.454745)"
1,070-88-7678-000,150,FENWICK ST,1,7,3,SPLIT LEVL,1959,171700,0,155700,0.28953,1250,2744,327400,06/16/1998,210000,28711-119,6500,"150 FENWICK ST
FRAMINGHAM, MA
(42.311965, -71.416777)"
1,017-78-3063-000,43,SLOANE DR,1,8,3,RANCH,1958,192400,18700,160800,0.48411,1968,3744,371900,09/11/2012,10,59969-188,12000,"43 SLOANE DR
FRAMINGHAM, MA
(42.337839, -71.421802)"
1,057-21-6789-000,4,JANICE CIR,1,6,3,RANCH,1960,221500,0,160400,0.46924,1652,3386,381900,01/10/1992,1,21671-343,6900,"4 JANICE CIR
FRAMINGHAM, MA
(42.320669, -71.439003)"
1,061-51-9802-000,28,SPRINGHILL RD,1,6,3,RANCH,1959,112900,0,154300,0.2357,1368,1500,267200,08/15/2000,187000,31715-580,,"28 SPRINGHILL RD
FRAMINGHAM, MA
(42.320242, -71.389853)"
1,018-89-3831-000,32,MARY AGNES RD,1,7,3,RANCH,1960,119700,0,160200,0.46175,1364,1476,279900,09/01/1972,1,12280-0225,3500,"32 MARY AGNES RD
FRAMINGHAM, MA
(42.342408, -71.41769)"
1,027-56-1667-000,41,HEMENWAY RD,1,8,4,COLONIAL,1979,290200,0,160400,0.47176,2016,3774,450600,04/30/1993,100,23133-0124,14650,"41 HEMENWAY RD
FRAMINGHAM, MA
(42.333975, -71.430665)"
1,017-58-6314-000,77,HEMENWAY RD,1,7,3,RANCH,1958,135700,0,162800,0.56141,1468,1568,298500,09/20/1978,1,13543-315,6400,"77 HEMENWAY RD
FRAMINGHAM, MA
(42.338769, -71.428222)"
1,077-77-5405-000,19,CLEARVIEW DR,1,7,3,RANCH,1959,229400,600,183900,0.84688,1464,3498,413900,12/30/2003,96000,41701-433,4000,"19 CLEARVIEW DR
FRAMINGHAM, MA
(42.309245, -71.457728)"
1,057-20-0921-000,25,AMY RD,1,7,3,RANCH,1960,122000,0,160600,0.4792,1200,1912,282600,02/01/1991,1,20988-0171,9115,"25 AMY RD
FRAMINGHAM, MA
(42.318238, -71.441408)"
1,047-32-0872-000,730,EDGELL RD,1,9,4,CONVENT`NL,1866,200000,1200,162900,0.56703,2264.75,3968,364100,06/05/2015,460500,65492-329,4000,"730 EDGELL RD
FRAMINGHAM, MA
(42.323247, -71.43704)"
1,039-04-9944-000,38,PINEWOOD DR,1,7,3,RANCH,1957,141300,0,160100,0.45914,1415,1703,301400,10/01/2013,300000,255137,5600,"38 PINEWOOD DR
FRAMINGHAM, MA
(42.329357, -71.408466)"
1,055-70-8243-000,5,BIRCHMEADOW CIR,1,6,3,SPLIT ENT,1963,177100,100,160700,0.4814,1248,2720,337900,06/30/2016,457500,67540-379,14000,"5 BIRCHMEADOW CIR
FRAMINGHAM, MA
(42.315808, -71.457146)"
1,080-66-1347-000,7,LILIAN RD,1,9,5,COLONIAL,1955,215200,0,167500,0.26894,2562,3801,382700,05/25/2007,390000,239449,15798,"7 LILIAN RD
FRAMINGHAM, MA
(42.305258, -71.42607)"
1,070-88-9415-000,355,SUMMER ST,1,7,3,SPLIT LEVL,1959,150600,2300,157100,0.34548,1174,2482,310000,02/25/1975,1,12762-161,,"355 SUMMER ST
FRAMINGHAM, MA
(42.310955, -71.415959)"
1,070-88-9840-000,4,HAYNES RD,1,8,4,GARRISON,1959,168100,0,157100,0.34435,2012,3363,325200,11/15/1991,178000,21539-0521,4000,"4 HAYNES RD
FRAMINGHAM, MA
(42.311933, -71.415876)"
1,018-89-0835-000,14,CATHERINE RD,1,7,3,RANCH,1960,135000,900,160100,0.45914,1243,1803,296000,09/26/1996,1,26698-0049,,"14 CATHERINE RD
FRAMINGHAM, MA
(42.342212, -71.419138)"
1,077-77-8776-000,10,BELLWOOD RD,1,7,3,RANCH,1960,155900,0,173800,0.49128,1235,2889,329700,05/27/2009,313100,52855-107,6000,"10 BELLWOOD RD
FRAMINGHAM, MA
(42.309398, -71.456947)"
1,061-51-5053-000,10,SPRINGHILL RD,1,6,3,RANCH,1959,150600,0,154500,0.24483,1415,1919,305100,11/27/2015,342500,66443-164,7000,"10 SPRINGHILL RD
FRAMINGHAM, MA
(42.318428, -71.391052)"
1,018-88-9863-000,9,MARY AGNES RD,1,7,3,RANCH,1960,152600,0,161200,0.49968,1542,1884,313800,04/25/1995,151000,25303-0026,6000,"9 MARY AGNES RD
FRAMINGHAM, MA
(42.339495, -71.416056)"
1,017-58-3414-000,76,HEMENWAY RD,1,7,3,RANCH,1958,145400,1300,163400,0.58558,1454,1499,310100,07/30/2014,327000,63997-305,1800,"76 HEMENWAY RD
FRAMINGHAM, MA
(42.338336, -71.428863)"
1,027-57-3965-000,4,MERRILL DR,1,7,3,RANCH,1958,145900,0,160400,0.47032,1416,1986,306300,08/25/1959,1,09443-0202,3800,"4 MERRILL DR
FRAMINGHAM, MA
(42.337029, -71.429184)"
1,061-51-3176-000,707,OLD CONN PATH,1,6,3,RANCH,1958,119700,1200,146800,0.24419,1415,1703,267700,04/02/1999,100,30007-152,6800,"707 OLD CONN PATH
FRAMINGHAM, MA
(42.318645, -71.392322)"
1,066-79-7816-000,10,BLACKBERRY LN,1,6,3,SPLIT LEVL,1963,194900,0,172900,0.46028,1177,2697,367800,03/01/2000,265100,31177-516,3200,"10 BLACKBERRY LN
FRAMINGHAM, MA
(42.314816, -71.457126)"
1,056-00-1397-000,519,GROVE ST,1,7,4,CAPE,1954,342900,0,175800,0.56084,2492,4674,518700,12/30/1998,273000,29602-474,2500,"519 GROVE ST
FRAMINGHAM, MA
(42.316273, -71.448601)"
1,017-78-3322-000,44,SLOANE DR,1,8,4,RANCH,1958,142200,700,160100,0.45914,1812,2292,303000,04/07/2014,100,63457-497,10200,"44 SLOANE DR
FRAMINGHAM, MA
(42.338023, -71.421534)"
1,061-60-3709-000,19,BROWNLEA RD,1,6,3,RANCH,1959,100500,2000,159900,0.45317,1242,1796,262400,07/20/2015,285000,65758-369,2652,"19 BROWNLEA RD
FRAMINGHAM, MA
(42.317959, -71.388795)"
1,060-20-6547-000,11,BONITO DR,1,6,3,SPLIT LEVL,1960,118000,0,154300,0.23783,1192,2680,272300,03/19/2013,237000,253499,3400,"11 BONITO DR
FRAMINGHAM, MA
(42.316806, -71.401994)"
1,057-20-1951-000,27,AMY RD,1,7,4,RANCH,1960,147300,2300,160400,0.47062,1944,2484,310000,07/18/1997,147500,27491-280,40500,"27 AMY RD
FRAMINGHAM, MA
(42.318285, -71.440875)"
1,018-89-6941-000,42,EATON RD,1,8,4,COLONIAL,1962,222700,0,163000,0.56933,2016,3288,385700,06/01/1993,1,23254-479,8750,"42 EATON RD
FRAMINGHAM, MA
(42.343041, -71.416527)"
1,037-35-6092-000,807,WATER ST,NULL,NULL,NULL,NULL,NULL,0,0,204800,0.591,0,0,204800,05/17/1999,100,30176-489,,"807 WATER ST
FRAMINGHAM, MA
(42.328846, -71.434945)"
1,017-78-4308-000,46,SLOANE DR,1,7,3,RANCH,1958,140200,12400,160100,0.45914,1751,2263,312700,04/09/2010,100,54523-61,2000,"46 SLOANE DR
FRAMINGHAM, MA
(42.338211, -71.421262)"
1,067-19-5932-000,12,LAMPHERE CIR,1,8,4,COLONIAL,1960,196200,0,161100,0.49809,1800,2756,357300,07/28/2006,425000,47872-73,,"12 LAMPHERE CIR
FRAMINGHAM, MA
(42.315212, -71.44345)"
1,061-51-7236-000,13,SPRINGHILL RD,1,6,3,RANCH,1955,120100,6100,157500,0.361,1511,1703,283700,06/28/2006,325000,47717-581,39000,"13 SPRINGHILL RD
FRAMINGHAM, MA
(42.319215, -71.390902)"
1,046-12-9416-000,8,WESTVIEW RD,1,7,3,RANCH,1960,190300,0,160100,0.46051,1730,3940,350400,10/23/2012,245000,60313-159,0,"8 WESTVIEW RD
FRAMINGHAM, MA
(42.322533, -71.441459)"
1,019-18-7109-000,14,TEMI RD,1,8,3,RANCH,1959,142000,700,161300,0.50551,1676,1928,304000,10/13/2006,350000,48315-564,10000,"14 TEMI RD
FRAMINGHAM, MA
(42.33797, -71.405108)"
1,027-77-2910-000,39,SLOANE DR,1,8,4,RANCH,1959,188700,0,160900,0.48827,1980,2160,349600,07/23/2004,391000,43364-274,27000,"39 SLOANE DR
FRAMINGHAM, MA
(42.337477, -71.422341)"
1,018-89-2539-000,17,CATHERINE RD,1,7,2,RANCH,1960,199800,5800,160100,0.45914,2080,2512,365700,05/19/2006,409000,47478-164,5291,"17 CATHERINE RD
FRAMINGHAM, MA
(42.342113, -71.418327)"
1,061-51-9139-000,8,MAYFLOWER RD,1,6,3,RANCH,1959,126600,0,156400,0.3185,1415,1703,283000,10/24/2007,1,50260-465,7200,"8 MAYFLOWER RD
FRAMINGHAM, MA
(42.318473, -71.38972)"
1,067-19-3848-000,10,LAMPHERE CIR,1,8,3,RANCH,1960,129000,0,162000,0.53232,1594,2124,291000,05/20/1983,1,15028-0040,,"10 LAMPHERE CIR
FRAMINGHAM, MA
(42.314861, -71.443781)"
1,027-57-6094-000,4,SLOANE DR,1,7,3,RANCH,1959,153700,0,161300,0.5062,1434,2078,315000,07/01/1990,175000,20670-218,2776,"4 SLOANE DR
FRAMINGHAM, MA
(42.334549, -71.427557)"
1,070-98-1783-000,2,BRYANT RD,1,8,4,SPLIT LEVL,1959,171600,0,155800,0.29566,1366,2726,327400,06/01/1983,87000,16129-0066,6000,"2 BRYANT RD
FRAMINGHAM, MA
(42.31214, -71.415116)"
1,027-56-0417-000,33,HEMENWAY RD,1,8,3,GAMBREL,1980,162500,0,160200,0.461,1536,2400,322700,07/14/2006,360000,47803-97,5500,"33 HEMENWAY RD
FRAMINGHAM, MA
(42.333342, -71.43075)"
1,061-61-3229-000,26,BROWNLEA RD,1,8,3,RANCH,1959,155500,15400,154700,0.25367,1781,1805,325600,12/06/1995,100,25876-0403,,"26 BROWNLEA RD
FRAMINGHAM, MA
(42.318876, -71.388186)"
1,067-19-5787-000,13,LAMPHERE CIR,1,6,2,RANCH,1960,122500,0,164100,0.6124,1212,1812,286600,07/26/2013,100,62328-24,65510,"13 LAMPHERE CIR
FRAMINGHAM, MA
(42.315081, -71.443493)"
1,056-10-6493-000,16,RUTHELLEN RD,1,8,4,RANCH,1961,169400,0,163400,0.58636,1694,2494,332800,11/12/1999,170000,30858-1,25000,"16 RUTHELLEN RD
FRAMINGHAM, MA
(42.316299, -71.442441)"
1,061-50-7532-000,5,BROWNLEA RD,1,6,3,RANCH,1955,93700,13300,155100,0.26655,1032,1352,262100,04/12/1972,1,12186-0117,7560,"5 BROWNLEA RD
FRAMINGHAM, MA
(42.317153, -71.390775)"
1,017-79-2523-000,32,EISENHOWER RD,1,7,3,RANCH,1967,147500,0,160100,0.45914,1392,1728,307600,07/16/2003,285000,39963-203,,"32 EISENHOWER RD
FRAMINGHAM, MA
(42.34126, -71.422412)"
1,047-22-4344-000,15,LYMAN RD,1,7,3,RANCH,1960,170000,0,160800,0.48508,1248,2922,330800,12/20/2013,100,63090-310,4116,"15 LYMAN RD
FRAMINGHAM, MA
(42.321596, -71.439649)"
1,060-20-5574-000,15,BONITO DR,1,6,3,SPLIT LEVL,1960,151600,0,155200,0.27089,1192,2498,306800,09/14/1959,1,00627-0043,8500,"15 BONITO DR
FRAMINGHAM, MA
(42.316688, -71.402237)"
1,038-64-9505-000,4,WALNUT AVE,1,7,4,GAMBREL,1980,173300,0,157100,0.34435,2032,3356,330400,07/23/1976,1,00877-0150,,"4 WALNUT AVE
FRAMINGHAM, MA
(42.328244, -71.423466)"
1,017-78-0558-000,11,ARBETTER DR,0,NULL,NULL,HOSPITAL,1995,1500,67300,682600,3.53999,0,0,751400,09/07/1994,1,24838-0071,28616,"11 ARBETTER DR
FRAMINGHAM, MA
(42.338552, -71.424095)"
1,047-22-5151-000,12,LYMAN RD,1,6,3,RANCH,1960,190500,0,160100,0.45914,1524,3260,350600,05/03/2004,329000,42674-47,1000,"12 LYMAN RD
FRAMINGHAM, MA
(42.321639, -71.439525)"
1,080-66-0375-000,9,LILIAN RD,1,7,3,RANCH,1955,105600,0,167500,0.26894,1211,2403,273100,03/29/2012,224500,250825,17140,"9 LILIAN RD
FRAMINGHAM, MA
(42.305209, -71.426313)"
1,047-22-9701-000,720,EDGELL RD,0,NULL,NULL,CHURCH/SYN,1962,366600,0,204100,3.3,2858,5716,570700,09/13/1973,1,12520-91,8075,"720 EDGELL RD
FRAMINGHAM, MA
(42.322971, -71.437045)"
1,061-51-4440-000,737,OLD CONN PATH,1,5,3,RANCH,1973,133600,0,147800,0.2873,1102,2158,281400,06/11/1973,1,12451-0741,,"737 OLD CONN PATH
FRAMINGHAM, MA
(42.31956, -71.392011)"
1,056-11-8696-000,16,JANICE CIR,1,7,3,RANCH,1960,190600,0,160200,0.46166,1421,3172,350800,06/01/1989,182000,19900-0431,20000,"16 JANICE CIR
FRAMINGHAM, MA
(42.320384, -71.441437)"
1,027-57-9496-000,59,GREGORY RD,1,7,3,RANCH,1966,137700,0,160100,0.45914,1144,1862,297800,09/15/2015,10,66070-478,4550,"59 GREGORY RD
FRAMINGHAM, MA
(42.336282, -71.426797)"
1,060-20-5501-000,17,BONITO DR,1,6,3,SPLIT LEVL,1960,151100,0,155300,0.27548,1192,2614,306400,04/10/2009,1,243825,7000,"17 BONITO DR
FRAMINGHAM, MA
(42.316598, -71.402563)"
1,047-22-1611-000,7,WESTVIEW RD,1,7,3,SPLIT ENT,1960,202700,0,162700,0.55762,1653,3360,365400,02/03/2003,100,37876-021,5400,"7 WESTVIEW RD
FRAMINGHAM, MA
(42.322359, -71.441249)"
1,056-10-2593-000,9,AMY RD,1,7,3,RANCH,1960,89600,1100,160100,0.45914,1415,1727,250800,12/19/2008,256500,51992-247,5000,"9 AMY RD
FRAMINGHAM, MA
(42.317289, -71.44422)"
1,027-56-0847-000,45,HEMENWAY RD,1,7,3,CAPE,1957,153600,1500,160100,0.45914,1383,2600,315200,11/08/2010,1,55770-194,10000,"45 HEMENWAY RD
FRAMINGHAM, MA
(42.334352, -71.430651)"
1,055-80-0183-000,18,BLACKBERRY LN,1,9,4,SPLIT LEVL,1963,329500,0,172900,0.45914,1860,4040,502400,04/28/2006,481000,47365-176,12000,"18 BLACKBERRY LN
FRAMINGHAM, MA
(42.31553, -71.455754)"
1,057-21-3611-000,10,JANICE CIR,1,6,3,RANCH,1960,187800,1300,160200,0.46442,1304,3086,349300,08/22/2013,100,62500-263,,"10 JANICE CIR
FRAMINGHAM, MA
(42.320207, -71.440383)"
1,067-19-2516-000,7,LAMPHERE CIR,1,8,4,COLONIAL,1960,185600,0,161200,0.50007,2731,3046,346800,05/10/2005,1,45152-70,5500,"7 LAMPHERE CIR
FRAMINGHAM, MA
(42.314565, -71.444571)"
1,070-88-8845-000,474,CENTRAL ST,0,NULL,NULL,GOVT BLDG,1972,34900,0,159200,0.42312,295,295,194100,12/29/1954,1,8382-451,,"474 CENTRAL ST
FRAMINGHAM, MA
(42.312543, -71.416383)"
1,067-19-0940-000,13,RALEIGH RD,1,8,3,RANCH,1960,155500,14200,160400,0.46949,2154,2340,330100,09/19/2003,399900,40948-168,10875,"13 RALEIGH RD
FRAMINGHAM, MA
(42.315363, -71.445303)"
1,027-67-8555-000,29,SLOANE DR,1,7,3,RANCH,1958,164800,0,160900,0.49056,1440,2080,325700,04/28/2015,100,65277-75,18600,"29 SLOANE DR
FRAMINGHAM, MA
(42.336542, -71.423718)"
1,061-61-1655-000,20,MAYFLOWER RD,1,7,3,RANCH,1958,151500,0,154500,0.24506,1452,2412,306000,03/30/1976,1,12953-239,8850,"20 MAYFLOWER RD
FRAMINGHAM, MA
(42.319823, -71.388924)"
1,077-77-7939-000,7,BELLWOOD RD,1,7,3,RANCH,1958,149000,1100,173000,0.4621,1238,2928,323100,01/01/1900,1,13947-231,2989,"7 BELLWOOD RD
FRAMINGHAM, MA
(42.309986, -71.456892)"
1,051-62-4047-000,42,BROWNLEA RD,1,7,3,RANCH,1959,137800,0,154300,0.23799,1632,2212,292100,07/29/2005,380900,45745-488,1693,"42 BROWNLEA RD
FRAMINGHAM, MA
(42.321163, -71.387806)"
1,011-80-6222-000,45,EATON RD,1,6,3,RANCH,1960,147700,0,161100,0.49736,1392,1728,308800,12/15/2005,1,46664-29,,"45 EATON RD
FRAMINGHAM, MA
(42.34318, -71.41698)"
1,056-10-0211-000,2,RUTHELLEN RD,1,8,4,COLONIAL,1961,149100,0,160500,0.47599,1750,2492,309600,07/01/1986,20000,17178-427,,"2 RUTHELLEN RD
FRAMINGHAM, MA
(42.315824, -71.445065)"
1,077-87-5573-000,26,KNIGHT RD,1,7,3,SPLIT LEVL,1958,212500,1400,173000,0.46292,1124,2634,386900,01/08/2016,406063,66647-146,1000,"26 KNIGHT RD
FRAMINGHAM, MA
(42.308808, -71.45386)"
1,055-70-9021-000,1,BIRCHMEADOW CIR,1,10,4,SPLIT ENT,1963,217500,0,160300,0.46657,1404,3826,377800,05/27/1994,224000,24572-184,11500,"1 BIRCHMEADOW CIR
FRAMINGHAM, MA
(42.315362, -71.45672)"
1,066-79-2820-000,6,BANCROFT CIR,1,8,4,SPLIT ENT,1963,242600,0,174900,0.53095,1404,3120,417500,08/30/2002,1,36280-544,16000,"6 BANCROFT CIR
FRAMINGHAM, MA
(42.315264, -71.458893)"
1,010-70-9077-000,54,EATON RD,1,6,3,RANCH,1959,159800,0,160100,0.45914,1648,2226,319900,03/21/2013,1,61438-245,15909,"54 EATON RD
FRAMINGHAM, MA
(42.34348, -71.419292)"
1,061-51-8755-000,26,SPRINGHILL RD,1,7,3,RANCH,1959,120800,0,154200,0.23416,1452,1452,275000,11/30/2011,1,57977-204,3000,"26 SPRINGHILL RD
FRAMINGHAM, MA
(42.320059, -71.390052)"
1,039-84-8782-000,78,JOSEPH RD,1,8,4,SPLIT LEVL,1957,150400,5100,162100,0.53719,1031,2759,317600,04/26/1977,1,887-114,24000,"78 JOSEPH RD
FRAMINGHAM, MA
(42.328536, -71.416471)"
1,061-60-3867-000,21,BROWNLEA RD,1,5,3,RANCH,1959,74200,0,160700,0.48347,1032,1352,234900,03/14/1997,1,27133-0315,,"21 BROWNLEA RD
FRAMINGHAM, MA
(42.318096, -71.388662)"
1,046-12-6890-000,21,MCADAMS RD,1,7,3,SPLIT LEVL,1961,164200,0,160300,0.46545,1248,2640,324500,05/01/1987,196000,18148-8,3900,"21 MCADAMS RD
FRAMINGHAM, MA
(42.322865, -71.442399)"
1,027-56-9829-000,9,SLOANE DR,1,7,3,RANCH,1959,132500,0,160800,0.48423,1583,1995,293300,01/01/1990,100,20335-340,7015,"9 SLOANE DR
FRAMINGHAM, MA
(42.33475, -71.427076)"
1,055-70-6062-000,4,BIRCHMEADOW CIR,1,8,4,SPLIT ENT,1963,183900,0,160300,0.46772,1350,3118,344200,11/16/1979,1,13839-517,,"4 BIRCHMEADOW CIR
FRAMINGHAM, MA
(42.315845, -71.457181)"
1,027-57-0381-000,57,HEMENWAY RD,1,6,3,RANCH,1961,152000,12300,167000,0.72309,1240,2457,331300,02/27/2004,345000,42127-191,5700,"57 HEMENWAY RD
FRAMINGHAM, MA
(42.335534, -71.430673)"
1,046-12-5731-000,25,MCADAMS RD,1,7,3,RANCH,1960,158000,0,164500,0.62718,1590,3180,322500,11/13/2012,262000,60470-182,15000,"25 MCADAMS RD
FRAMINGHAM, MA
(42.322545, -71.443042)"
